year,race_name,date,circuit_name,location,country,Driver,driver_code,finish_position,race_points,status,stop,pit_lap,pit_duration,Tire Compound,Stint Length,Stint,Air_Temp_C,Track_Temp_C,Humidity_%,Wind_Speed_KMH,TotalPitStops,AvgPitStopTime,Lap Time Variation,Total Pit Stops,Tire Usage Aggression,Fast Lap Attempts,Position Changes,Driver Aggression Score
2018,Belgian Grand Prix,2018-08-26,Circuit de Spa-Francorchamps,Spa,Belgium,Sebastian Vettel,VET,1,25.0,Finished,1,1,19.582,SUPERSOFT,20.0,2.0,13.41666666666667,18.91666666666667,65.875,15.383333333333333,2.0,20.9175,0.001437393,0.2857142857142857,0.045454545,45.63831994581159,0.0,6.926698690254703
2018,Belgian Grand Prix,2018-08-26,Circuit de Spa-Francorchamps,Spa,Belgium,Sebastian Vettel,VET,1,25.0,Finished,1,1,19.582,SOFT,22.0,3.0,13.41666666666667,18.91666666666667,65.875,15.383333333333333,2.0,20.9175,0.001437393,0.2857142857142857,0.045454545,45.63831994581159,0.0,6.926698690254703
2018,Belgian Grand Prix,2018-08-26,Circuit de Spa-Francorchamps,Spa,Belgium,Sebastian Vettel,VET,1,25.0,Finished,2,22,22.253,SUPERSOFT,20.0,2.0,13.41666666666667,18.91666666666667,65.875,15.383333333333333,2.0,20.9175,0.001437393,0.2857142857142857,0.045454545,45.63831994581159,0.0,6.926698690254703
2018,Belgian Grand Prix,2018-08-26,Circuit de Spa-Francorchamps,Spa,Belgium,Sebastian Vettel,VET,1,25.0,Finished,2,22,22.253,SOFT,22.0,3.0,13.41666666666667,18.91666666666667,65.875,15.383333333333333,2.0,20.9175,0.001437393,0.2857142857142857,0.045454545,45.63831994581159,0.0,6.926698690254703
2018,Brazilian Grand Prix,2018-11-11,Autódromo José Carlos Pace,São Paulo,Brazil,Kimi Räikkönen,RAI,3,15.0,Finished,1,31,22.766,,,,,,,,,,,,,,,
2018,Brazilian Grand Prix,2018-11-11,Autódromo José Carlos Pace,São Paulo,Brazil,Sebastian Vettel,VET,6,8.0,Finished,1,27,22.551,,,,,,,,,,,,,,,
2018,Brazilian Grand Prix,2018-11-11,Autódromo José Carlos Pace,São Paulo,Brazil,Sebastian Vettel,VET,6,8.0,Finished,2,53,22.683,,,,,,,,,,,,,,,
2018,British Grand Prix,2018-07-08,Silverstone Circuit,Silverstone,UK,Kimi Räikkönen,RAI,3,15.0,Finished,1,13,38.573,,,,,,,,,,,,,,,
2018,British Grand Prix,2018-07-08,Silverstone Circuit,Silverstone,UK,Kimi Räikkönen,RAI,3,15.0,Finished,2,33,28.985,,,,,,,,,,,,,,,
2018,British Grand Prix,2018-07-08,Silverstone Circuit,Silverstone,UK,Sebastian Vettel,VET,1,25.0,Finished,1,20,28.677,SOFT,18.0,1.0,22.29583333333333,28.79583333333333,56.79166666666666,11.125000000000002,2.0,28.4255,0.003907794,0.2857142857142857,0.038461538,38.13031994581159,0.0,5.799841209084796
